"","Date","title"
"79"," 1/26","[轉錄]Re: 戴帽子帥哥..."
"80"," 1/28","DEEP CONCENTRATION 3"
"81"," 1/28","Defari"
"82"," 2/01","高雄二手美版西西低"
"83"," 2/09","Re: 借問一下~~"
"84"," 2/10","Re: 借問一下~~"
"85"," 2/10","Re: 借問一下~~"
"86"," 2/11","Re: 借問一下~~"
"87"," 2/16","Re: 推薦一下哪"
"88"," 2/21","各位台大嘻哈文化社的舊雨新知"
"89"," 2/22","社服訂購"
"90"," 2/26","社服圖樣 要訂請快"
"91"," 2/27","社服訂購事宜"
"92"," 2/27","3/1 杜鵑花節會議 "
"93"," 3/11","可瘋狂試聽的網站"
"94"," 3/14","X-ecutioners"
"95"," 3/14","Re: X-ecutioners"
"96"," 3/17","嘻哈美國新書發表會"
"97"," 3/20","今日群雄相聚弗囊克"
"98"," 3/20","Re: 今日群雄相聚弗囊克"
"99"," 3/21","Re: 今日群雄相聚弗囊克"
"100"," 3/30","轉錄:「嘻哈美國新書座談會」感言by Uriel"
"101"," 4/05","一個怪網站"
"102"," 4/06","Soul Juice Records遷址"
"103"," 4/21","急徵熟知日、韓hiphop音樂資訊的能才"
"104"," 4/23","J Live"
"105"," 4/29","Asheru and Blue Black of Unspoken Heard"
"106"," 4/29","最美麗的詞"
"107"," 4/30","最衝的一句"
"108"," 4/30","再加一句"
"109"," 5/04","5/9台大Hip Hop文化日"
"110"," 5/04","Re: 請問一下...."
"111"," 5/04","嘿嘿"
"112"," 5/09","謝謝大家歐"
"113"," 5/11","And 1 Mixtape曲目"
"114"," 5/12","Soul Juice 移址 大特賣"
"115"," 5/16","Wht Do U Consider ""Underground""??"
"116"," 5/16","What Do U Consider ""Underground"" II??"
"117"," 5/16","Hip-Hop in Cuba"
"118"," 5/21","Marley Mal"
"119"," 5/26","[心得] 好hi歐!!!!!!!!"
"120"," 5/26","Re: [心得] 好hi歐!!!!!!!!"
"121"," 5/26","Soul Juice Urban Nite"
"122"," 5/26","DJ Krush"
"123"," 5/27","Re: [心得] 好hi歐!!!!!!!!"
"124"," 6/05","DJ Krush--Zen"
"125"," 6/06","Re: DJ Krush--Zen"
"126"," 6/06","Re: DJ Krush--Zen"
"127"," 6/10","Re: cee-lo的專輯如何"
"128"," 6/15","Downbeats"
"129"," 6/15","Re: [心得] 有人買Mos Def 的專集嗎?"
"130"," 6/17","Re: Eminem "
"131"," 6/25","BEE Records Histroy from BEEmusic.com"
"132"," 6/25","Re: BEE Records Histroy from BEEmusic.com"
"133"," 6/28","18禁...."
"134"," 7/03","很棒!!Sample來源/心得/報導"
"135"," 7/03","ANOTHER AWESOME WEBSITE....."
"136"," 7/03","自己進來看正不正吧..."
"137"," 8/03","Nice Album"
"138"," 8/04","Re: 該被尊重的，是嘻哈少年---政小四"
"139"," 8/04","Scarface ""Fix"""
"140"," 8/05","Re: 該被尊重的，是嘻哈少年---政小四"
"141"," 8/06","Re: 該被尊重的，是嘻哈少年---政小四"
"142"," 8/06","Re: 該被尊重的，是嘻哈少年---政小四"
"143"," 8/06","Re: 該被尊重的，是嘻哈少年---政小四"
"144"," 8/07","[心得] 哎呀"
"145"," 8/07","Re: 該被尊重的，是嘻哈少年---政小四"
"146"," 8/07","Re: Eminem Show"
"147"," 9/14","[情報] 淡江摩音社 誕生"
"148"," 9/14","[情報] 摩音社招生活動消息"
"149"," 9/22","摩音社新的行事曆出爐"
"150"," 9/28","新新新!!!"
"151","10/06","Re: 唉 荒廢真久"
"152","10/06","Re: 唉 荒廢真久"
"153","10/15","2pac的人類學分析"
"154","11/08","Re: [問題] 請教各位: crip dance？"
"155","11/14","V.A - shaolin soul episode 2"
"156","11/18","Re: 請問一下"
"157","11/22","Common :: Electric Circus "
"158","11/23","Re: [問題] 請問哪裡有album review可以看？"
"159","11/29","po在這不知對不對 但...太噁心ㄌ"
"160","11/30","Re: yesterday's new quintet"
"161","12/18","哈佛大學開的一門課"
"162","12/21","啟彬與凱雅的Duo Project"
"163","12/25","笑死我了"
"164","12/31","[心得] DJ 文聰與音樂創作的觀察與心得....... …"
"165","12/31","[心得] 這幾個月的觀察與感想........"
"166","12/31","[心得] 台灣的唱片市場............"
"167"," 1/01","Re: [心得] 台灣的唱片市場............"
"168"," 1/02","Re: 請問各位大大"
"169"," 1/09","[閒聊] shawn kemp怪獸回憶錄..PS；DP特價活動 …"
"170"," 1/11","'The Anti-Backpack Movement'"
"171"," 1/13","check this"
"172"," 1/15","Lyricist Park 網宣"
"173"," 2/19","Re: [問題] 台灣的音樂族群..........."
"174"," 2/21","淡江摩音社 新學期活動開催!"
"175"," 2/22","Re: [問題] 台灣的音樂族群..........."
"176"," 3/29","Re: 期待期待期待"
"177"," 3/30","something about CK Riders"
"178"," 4/12","Re: [問題] hip hop"
"179"," 4/17","Lost children of babylon - The Equidivium"
"180"," 4/19","[心得] 在這個版一路看下來的心得"
"181"," 4/19","Re: [心得] 在這個版一路看下來的心得"
"182"," 4/19","Re: [心得] 在這個版一路看下來的心得"
"183"," 4/19","Re: [心得] 在這個版一路看下來的心得"
"184"," 4/19","Re: [心得] 在這個版一路看下來的心得"
"185"," 4/19","Re: [心得] 在這個版一路看下來的心得"
"186"," 4/19","Re: [問題] 無法成為 real hiphop 的理由?"
"187"," 4/20","Re: [心得] 在這個版一路看下來的心得"
"188"," 4/20","在這個版一路看下來的心得回應"
"189"," 4/20","Re: [心得] 在這個版一路看下來的心得"
"190"," 4/20","Re: [心得] 在這個版一路看下來的心得"
"191"," 4/20","Re: [心得] 在這個版一路看下來的心得"
"192"," 4/20","Re: [心得] 在這個版一路看下來的心得"
"193"," 4/20","Re: [心得] 在這個版一路看下來的心得"
"194"," 4/20","Re: [心得] 在這個版一路看下來的心得"
"195"," 4/20","Re: [心得] 在這個版一路看下來的心得"
"196"," 4/20","Re: [心得] 在這個版一路看下來的心得"
"197"," 4/20","Re: [心得] 在這個版一路看下來的心得"
"198"," 4/20","Re: [心得] 在這個版一路看下來的心得"
"199"," 4/21","Re: [心得] 在這個版一路看下來的心得"
"200"," 4/21","Re: [心得] 在這個版一路看下來的心得"
"201"," 4/21","Re: [心得] 在這個版一路看下來的心得"
"202"," 4/21","Re: [心得] 在這個版一路看下來的心得"
"203"," 4/21","Re: [心得] 在這個版一路看下來的心得"
"204"," 4/21","Re: [心得] 在這個版一路看下來的心得"
"205"," 4/21","Re: [心得] 在這個版一路看下來的心得"
"206"," 4/22","Re: [心得] 在這個版一路看下來的心得"
"207"," 4/22","[情報] 最強繁體中文hip hop資訊網站"
"208"," 4/26","infamous "
"209"," 4/29","Re: G FUNK和P FUNK"
"210"," 5/13","[情報] King Britt - Adventures in Lo-fi"
"211"," 5/25","嘻哈街頭風 吹進美國小說"
"212"," 5/28","Re: [問題] 如何分辨neo soul 和 r&b"
"213"," 6/19","Re: 心中的疑惑"
"214"," 6/23","[心得] numark"
"215"," 6/26","FUNKY FRESH FEW"
"216"," 7/02","web radio ~推"
"217"," 7/07","Re: [問題] 不會抽煙抽大麻"
"218"," 7/10","[公告] Save Hip Hop亞洲地下嘻哈演唱會"
"219"," 7/14","Re: CUNNIN LYNGUIST  ~will rapp for food"
"220"," 7/15","Re: [問題] 這邊可以聊穿著嗎"
"221"," 7/16","Re: [問題] Okayplayer"
"222"," 7/24","[情報] 幹...屌饒舌"
"223"," 8/04","Re: [問題] 誰可以幫我解說一下"
"224"," 8/04","Re: [問題] 誰可以幫我解說一下"
"225"," 8/05","Re: [問題] 誰可以幫我解說一下"
"226"," 8/11","[情報] 才子殞落─M80"
"227"," 8/11","Re: 周杰倫的新專輯"
"228"," 8/12","Re: 周杰倫的新專輯"
"229"," 8/14","Re: 周杰倫的新專輯"
"230"," 8/15","Re: [問題] 沉的音樂"
"231"," 8/16","推薦專輯:宋岳庭 ""Life's A Struggle"""
"232"," 8/17","拷秋勤"
"233"," 8/19","好聽專輯不嫌多"
"234"," 8/21","[轉錄][情報] 何謂三K黨(很長)解釋我前面的疑問"
"235"," 8/22","[公告] 台大的同學一定要看這篇!!!"
"236"," 8/23","Re: [公告] 台大的同學一定要看這篇!!!"
"237"," 8/23","Re: [公告] 台大的同學一定要看這篇!!!"
"238"," 8/23","Re: [公告] 台大的同學一定要看這篇!!!"
"239"," 8/24","Re: [公告] 台大的同學一定要看這篇!!!"
"240"," 9/01","Necro"
"241"," 9/01","2003 Source Award"
"242"," 9/03","關於Dead Prez"
"243"," 9/07","Re: [問題] 疑問"
"244"," 9/12","loop junktion"
"245","10/01","[情報] 金毛告別歡送演唱會~"
"246","10/02","7年級流行代表 近5成：嘻哈 "
"247","10/02","徵板主"
"248","10/16","進板！！嘻哈品牌匯集"
"249","10/21","Shabazz the Disciple - Book of Shabazz "
"250","10/21","Mums - Strange Fruit "
"251","10/23","2pac face--ASCII"
"252","10/27","Re: 很機八的封面 很好聽的專輯"
"253","10/29","Re: 很機八的封面 很好聽的專輯"
"254","10/29","Re: [問題] 有誰知道黑眼豆豆嗎"
"255","10/29","Dr.Dre--ASCII"
"256","10/29","Re: 很機八的封面 很好聽的專輯"
"257","10/30","Pete Rock-LOST AND FOUND--ASCII"
"258","10/31","Snoop Dogg--ASCII"
"259","11/01","Cartoon Eminem--ASCII"
"260","11/02","Re: [心得] Money fall apart"
"261","11/04","大陸人rap，笑翻了"
"262","11/10","Re: [問題]請問acid jazz與jazz hiphop"
"263","11/11","DJ Mitsu the beats"
"264","11/20","一樂評網站"
"265","12/07","Re: 假嘻哈之名行把妹之實!!!"
"266","12/09","Re: 假嘻哈之名行把妹之實!!!"
"267"," 1/05","Re: 鐵竹堂"
"268"," 1/05","Re: 鐵竹堂"
"269"," 1/09","Re: 鐵竹堂"
"270"," 1/10","North Star"
"271"," 1/14","Re: 菩提壇"
"272"," 1/19","2003最佳專輯"
"273"," 1/21","[情報] The Sexpert a.k.a Necro Present : S …"
"274"," 1/26","Re: [情報] The Sexpert a.k.a Necro Present : S …"
"275"," 1/27","Re: [問題] 沉的音樂"
"276"," 1/28","二月份的地下世界,小週末夜"
"277"," 1/30","我愛上了一個女人..."
"278"," 2/14","Re: [問題] Kanye West"
"279"," 2/15","Organic Thoughts"
"280"," 2/17","[問題] 黑人俚語"
"281"," 2/29","[情報] 小聊 : Jay-Z 的 Black Album "
"282"," 3/04","[情報] 好團 : Psyche Origami (推薦)"
"283"," 3/10","菲律賓籍饒舌歌手 : KIWI"
"284"," 3/12","The Lost Children Of Egypt - The Book Of A …"
"285"," 4/09","Code Red "
"286"," 5/13","Re: [問題] BEAT"
"287"," 5/14","這...對岸的兄弟們好像是玩真的......."
"288"," 8/12","[公告] 標題"
"289"," 8/13","[心得] 沒什麼就是喜歡這首歌的詞"
"290"," 8/15","[心得] It's ggg...G-UNIT!!!"
"291"," 8/24","Re: [情報] 大計劃唱片行好音樂爛價格大拍賣行動똠…"
"292"," 8/25","[心得] Aesop Rock - Music For Earthworms(1 …"
"293"," 8/29","[發表]小無尾熊專訪"
"294"," 8/31","[情報] Hi Bomb"
"295"," 9/08","Chan 不可忽視的亞裔MC"
"296"," 9/13","[派對] 嘻哈大賞派對 HIP-OPerations present …"
"297"," 9/29","[懇請支持]參劈演唱會"
"298"," 9/29","[問題] Def jam fight for NY"
"299","10/05","只是想說說話.."
"300","10/07","[心得] 我來緩和一下氣氛"
"301","10/07","[問題] 問一首歌~"
"302","10/08","Re: [心得] 我來緩和一下氣氛"
"303","10/08","趙先生寫的 參劈樂評"
"304","10/08","關於社團"
"305","10/11","[廣告]原味九十第二集"
"306","10/12","竹幫新歌""我是來亂的"""
"307","10/14","Cormega要發Special Edition"
"308","10/23","[心得] 出國帶的１８張ＣＤ"
"309","10/25","[問題]德瑞博士."
"310","10/25","Re: [心得] 出國帶的１８張ＣＤ"
"311","10/28","[問題] underground hip hop"
"312","10/31","[問題] 希望大家能推薦Jay-Z的歌"
"313","10/31","Re: [問題] 希望大家能推薦Jay-Z的歌"
"314","10/31","Re: [問題] underground hip hop"
"315","11/01","Re: [問題] underground hip hop"
"316","11/04","Afrika Bambaataa新專輯11月15號台灣地區發行 …"
"317","11/05","[情報] 很便宜很便宜很便宜"
"318","11/06","Re: [轉錄]11/27 DJ Jazzy Jeff + MC Madskillz"
"319","11/07","Re: [問題] hardcord rap"
"320","11/07","Re: [問題] hardcord rap"
"321","11/07","[問題] 還是饒舌問題"
"322","11/08","Re: [問題] 這一首背景音樂.."
"323","11/09","Re: 說真格的"
"324","11/09","Re: 說真格的"
"325","11/09","[問題] 黑膠唱片的保存"
"326","11/10","Re: [問題] 黑膠唱片的保存"
"327","11/10","Re: 說真格的"
"328","11/10","Re: 說真格的"
"329","11/10","黑膠唱片放置保存的方法 "
"330","11/10","黑膠唱片的保養與收藏--資料來源˙越點音響視 …"
"331","11/10","黑膠唱片的使用清洗小常識--資料來源˙科普專題 "
"332","11/11","Re: 黑膠唱片的保養與收藏--資料來源˙越點音響視 …"
"333","11/11","Re: 黑膠唱片的保養與收藏--資料來源˙越點音響視 …"
"334","11/11","Re: 黑膠唱片的保養與收藏--資料來源˙越點音響視 …"
"335","11/11","Re: 說真格的"
"336","11/11","學長"
"337","11/11","Re: 學長"
"338","11/12","Re: 學長"
"339","11/13","Re: 說真格的"
"340","11/13","SHOT ONE 來一發吧"
"341","11/13","Re: 說真格的"
"342","11/14","Re: [問題] hardcord rap"
"343","11/14","[情報] R.I.P. Ol' Dirty Bastard"
"344","11/14","[問題] 關於穿著的問題..."
"345","11/15","[問題] 嘻哈是種生活態度..."
"346","11/16","Re: [問題] 嘻哈是種生活態度..."
"347","11/16","Re: [問題] 關於穿著的問題..."
"348","11/16","Re: [情報] R.I.P. Ol' Dirty Bastard"
"349","11/16","[問題] AKA是什麼阿"
"350","11/16","Re: [問題] 嘻哈是種生活態度..."
"351","11/16","[廣告] 原味九十no.5_EAC乾麵來訪"
"352","11/17","[心得] 媽的悶了好久"
"353","11/17","Re: [問題] 嘻哈是種生活態度..."
"354","11/17","為何我那麼喜歡Fabolous"
"355","11/17","Re: [問題] 嘻哈是種生活態度..."
"356","11/18","Re: [問題] 嘻哈是種生活態度..."
"357","11/18","Re: [問題] 嘻哈是種生活態度..."
"358","11/18","Re: [問題] 嘻哈是種生活態度..."
"359","11/18","Re: 為何我那麼喜歡Fabolous"
"360","11/18","Re: 請問""G"" @@"
"361","11/19","[問題] 不知道在這問適不適合.."
"362","11/19","明天晚上的聚會6:30在BURGERKING"
"363","11/19","Re: [問題] 嘻哈是種生活態度..."
"364","11/19","Re: [問題] 嘻哈是種生活態度..."
"365","11/19","Re: [問題] 嘻哈是種生活態度..."
"366","11/20","Re: [問題] 嘻哈是種生活態度..."
"367","11/20","Re: [問題] 嘻哈是種生活態度..."
"368","11/20","[轉錄]Brown Sugar"
"369","11/20","[情報] 以為要聚"
"370","11/21","[問題] 北美館雙年展的國王別針"
"371","11/23","Declaime ""Conversations With Dudley"""
"372","11/24","[問題] 請問誰可以告訴我有關Ice Tㄉ資料嗎 ()謝謝"
"373","11/24","[廣告]原味九十重播大支篇"
"374","11/24","Re: [問題] 希望大家能推薦Jay-Z的歌"
"375","11/24","Re: [問題] 希望大家能推薦Jay-Z的歌"
"376","11/25","[問題] 請問有人知道這個廣播怎麼聽嗎?"
"377","11/25","問一下各位大大喔"
"378","11/25","Re: [問題] 請問有人知道這個廣播怎麼聽嗎?"
"379","11/25","即將來台的MC Skillz aka MadSkillz"
"380","11/26","Re: 即將來台的MC Skillz aka MadSkillz"
"381","11/26","[問題]如何練 B-BOX???"
"382","11/26","[ 售 ] Raekwon, Wu-Tang (hip-hop 嘻哈)"
"383","11/27","[問題] DP網站的背景音樂"
"384","11/29","[問題] 想問首RAP"
"385","11/29","ciara "
"386","11/30","第一屆北區大專舞展聯合舞會"
"387","12/02","令人牛內的歌"
"388","12/03","【新發行】OST / Blade Trinity"
"389","12/03","[情報] 新發行LIL'ROMEO - ROMEO LAND "
"390","12/03","[問題] Talib Kweli"
"391","12/04","Re: [問題] Talib Kweli"
"392","12/04","高山兄弟的CHOPS和DAZ&SOOPAFLY...的初體驗"
"393","12/04","Re: 令人牛內的歌"
"394","12/05","[問題] 問歌"
"395","12/05","[問題] YOU GOT SERVED"
"396","12/06","[廣告]原味九十_金髮茶米篇"
"397","12/07","[問題] 請問街舞的討論版在哪呢？我想找tbc耶、、、"
"398","12/07","[問題] 關於AMG"
"399","12/08","[情報] 11/27 X.L特大號樂團&潑猴 @ no.70 Clubbing"
"400","12/08","Re: [情報] 11/27 X.L特大號樂團&潑猴 @ no.70 Cl …"
"401","12/08","歡迎大家來收聽我創立的 電台!"
"402","12/08","Ron Artest"
"403","12/11","12/17 台大舊體 ONE SHOT ONE STAGE"
"404","12/11","[問題] 請問這一段音樂"
"405","12/12","[問題] 請問一下ice cube他有拍過什麼片?"
"406","12/13","[情報] ODB tribute"
"407","12/14","[問題] 請問哪裡可以抓到刮盤的音效?"
"408","12/15","Re: [問題] 請問一下ice cube他有拍過什麼片?"
"409","12/15","Re: 12/17 台大舊體 ONE SHOT ONE STAGE"
"410","12/15","[發表] 中央大學耶誕舞會"
"411","12/15","ONE SHOT 徵DJ一名 無給職"
"412","12/16","[問題] sample 卡農的一首歌"
"413","12/17","今天的活動"
"414","12/18","[問題] 有沒有人撿到我的皮包"
"415","12/18","Re: 今天的活動"
"416","12/18","[心得]感謝"
"417","12/18","路人"
"418","12/18","XXX: State of Union"
"419","12/19","Re: 今天的活動"
"420","12/20","Re: [問題] sample 卡農的一首歌"
"421","12/21","[嗚啦] 耍老招"
"422","12/21","[情報] SILKK THE SHOCRER / BASED ON A TRUE …"
"423","12/21","[問題] The Game的專輯台灣會代嗎??"
"424","12/22","我想加入社團耶!"
"425","12/22","Re: 我想加入社團耶!"
"426","12/23","[問題] 應該可以PO這兒吧..."
"427","12/23","Re: [問題] 應該可以PO這兒吧..."
"428","12/23","Re: 我想加入社團耶!"
"429","12/24","[問題]ROOM 18"
"430","12/27","[情報] ice cube的新片"
"431","12/27","Re: [情報] ice cube的新片"
"432","12/27","[葩蒂] 1/22 DJ Krush @ Luxy"
"433","12/27","[情報] MIXMASTER MIKE - BANGZILLA"
"434","12/27","[情報] YOUNG BUCK  - DA UNDERGROUND "
"435","12/28","Re: [情報] ice cube的新片"
"436","12/28","[情報]推薦一個軟體"
"437","12/28","推薦個不錯的團可是不知道有沒有上市.."
"438","12/28","[情報]一些我覺得還不錯的網路電台"
"439","12/28","Re: [情報] ice cube的新片"
"440","12/29","[廣告] 原味九十第九集"
"441","12/29","[問題] 能不能幫我找BG的""bling bling""?"
"442","12/29","最近Hip Hop界有一大新聞"
"443","12/29","Re: [情報] ice cube的新片"
"444","12/29","[問題] rap在台灣市場的地位？"
"445","12/30","Re: [問題] rap在台灣市場的地位？"
"446","12/30","Re: [問題] rap在台灣市場的地位？"
"447","12/30","Re: [問題] rap在台灣市場的地位？"
"448","12/30","Re: [問題] rap在台灣市場的地位？"
"449","12/31","請問一下..."
"450"," 1/01","[問題] BG的""bling bling""為何有兩種版本？"
"451"," 1/01","Re: [問題] BG的""bling bling""為何有兩種版本？"
"452"," 1/01","Re: [問題] BG的""bling bling""為何有兩種版本？"
"453"," 1/01","[公告] 台灣嘻哈閃亮兩顆星!!!"
"454"," 1/01","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"455"," 1/02","[轉錄] 最屌的物理老師..."
"456"," 1/02","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"457"," 1/02","Re: [葩蒂] 1/22 DJ Krush @ Luxy"
"458"," 1/02","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"459"," 1/03","Lohan Freestyle"
"460"," 1/03","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"461"," 1/03","Re: [葩蒂] 1/22 DJ Krush @ Luxy"
"462"," 1/05","[情報] us3"
"463"," 1/05","[問題] 問2個禧哈團體.希望有高手知道"
"464"," 1/05","Re: [問題] 問2個禧哈團體.希望有高手知道"
"465"," 1/05","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"466"," 1/05","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"467"," 1/05","[廣告] 原味九十第十集_今晚!!!!"
"468"," 1/10","[問題] 請問大家50 cent的一首歌~~~"
"469"," 1/10","[問題] 請問 A+ 的一首歌"
"470"," 1/11","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"471"," 1/11","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"472"," 1/11","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"473"," 1/11","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"474"," 1/12","原味九十_大支_十一集"
"475"," 1/13","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"476"," 1/13","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"477"," 1/13","Re: [問題]如何練 B-BOX???"
"478"," 1/14","Re: [葩蒂] 1/22 DJ Krush @ Luxy"
"479"," 1/14","[問題] Hi-Bomb (黑棒)"
"480"," 1/14","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"481"," 1/14","Re: [問題] Hi-Bomb (黑棒)"
"482"," 1/14","[公告] 滾石可樂1.19復站公告"
"483"," 1/15","Re: [情報] us3"
"484"," 1/15","[問題] 重節拍的hip-hop音樂??"
"485"," 1/15","Re: [情報] us3"
"486"," 1/16","[問題] 煙與咖啡的OST"
"487"," 1/16","Re: [問題] 煙與咖啡的OST"
"488"," 1/17","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"489"," 1/17","本板廣告文除非跟HipHop有直接相關 否則D文"
"490"," 1/18","[問題] 有人聽過"
"491"," 1/18","Re: [問題] 重節拍的hip-hop音樂??"
"492"," 1/18","Re: [問題] 有人聽過"
"493"," 1/18","Re: [情報] us3"
"494"," 1/18","Re: [情報] us3"
"495"," 1/19","[情報] 又一家唱片要關了~快去撿便宜喔.."
"496"," 1/20","Re: [情報] 又一家唱片要關了~快去撿便宜喔.."
"497"," 1/23","Re: [情報] 又一家唱片要關了~快去撿便宜喔.."
"498"," 1/23","[問題] 想問一首歌"
"499"," 1/23","[廣告] 賣TurntableTV vol.5 Canadian Kung Fu"
"500"," 1/23","[心得] DJ Krush 1/22"
"501"," 1/24","Re: [問題] 想問一首歌"
"502"," 1/26","[問題] 能否推薦一下"
"503"," 1/26","[情報] B.G  LIFE AFTER CASH MONEY "
"504"," 1/28","[新聞] 巧克力重擊1400人 明天軋嘻哈"
"505"," 1/29","[問題] 想問一首歌  Mr.Longly"
"506"," 1/30","保加利亞"
"507"," 1/30","請問有沒有要招募新血呢~~~~"
"508"," 1/30","Re: 請問有沒有要招募新血呢~~~~"
"509"," 1/30","Re: 請問有沒有要招募新血呢~~~~"
"510"," 1/30","Re: 請問有沒有要招募新血呢~~~~"
"511"," 2/02","困擾我許久的問題"
"512"," 2/02","有沒有台南的朋友要一起go的阿?!強烈徵人阿"
"513"," 2/03","Re: 有沒有台南的朋友要一起go的阿?!強烈徵人阿"
"514"," 2/03","[問題] 各位嘻哈同好幫幫我"
"515"," 2/05","[徵歌]Royal Flush Feat. Big-Pun & Noreaga-clap your hands"
"516"," 2/07","一個新團【D4】  曲風多元，大家快去試聽。"
"517"," 2/08","Re: 有沒有台南的朋友要一起go的阿?!強烈徵人阿"
"518"," 2/08","[問題] 台北哪裡買的到MC Solaar"
"519"," 2/08","各位新年快樂"
"520"," 2/09","[問題  問個黑人厘語"
"521"," 2/13","[問題]請問兩張專輯~~"
"522"," 2/15","[情報] 居然在原動力看到SIJI的專輯!!!!"
"523"," 2/16","請問各為HIP HOP先進"
"524"," 2/16","[問題] 如何評價一張專輯的好壞?"
"525"," 2/17","Re: [徵歌]Royal Flush Feat. Big-Pun & Noreaga- …"
"526"," 2/19","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"527"," 2/19","[發表] 我成立的家族~~~ Steven`s Street Talk"
"528"," 2/19","Re: [發表] 我成立的家族~~~ Steven`s Street Talk"
"529"," 2/19","Who Shot Ya ?"
"530"," 2/19","Re: [公告] 台灣嘻哈閃亮兩顆星!!!"
"531"," 2/21","[問題] about Josh Smith的影片"
"532"," 2/21","Re: [問題] about Josh Smith的影片"
"533"," 2/21","[問題] 可以推薦我一些歌嗎?"
